srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,Prediction
2829088,AN,3,560011,233,233,131,A,ADLD,560093,2017-07-30,2017-07-27,2018-02-01,4467,2018-02-06,11.892337689669146
2829866,AJ,2,110018,233,233,228,A,ADLD,110034,2017-07-17,2017-01-25,2018-02-01,4388,2018-02-08,15.38848260030762
2894489,AJ,3,560011,233,233,228,C,ADLD,590014,2018-01-12,2018-01-11,2018-02-21,4460,2018-02-28,12.821178770181648
2876708,AJ,2,110018,233,233,228,B,ADLD,250110,2017-08-07,2017-05-21,2018-02-16,4388,2018-02-26,14.090054963824734
2890283,AN,22,400104,233,233,131,C,ADLD,496001,2017-11-10,2017-09-22,2018-02-20,4581,2018-02-23,15.243663047528486
2897438,C,6,160059,233,233,131,B,ADLD,160036,2017-12-12,2017-12-10,2018-02-22,4549,2018-02-27,12.430234242004186
2849010,C,2,110018,233,233,228,A,ADLD,110065,2017-09-08,2017-05-07,2018-02-07,4091,2018-03-02,16.415934593978488
2887783,U,2,110018,233,233,228,A,ADLD,110092,2018-02-02,2017-09-22,2018-02-19,4095,2018-02-26,16.4357711679333
2941799,AN,21,110015,233,233,131,B,ADLD,124001,2017-12-31,2017-06-26,2018-03-05,4580,2018-03-14,11.908162433321122
2973976,AN,22,400104,233,233,131,A,ADLD,400011,2017-05-22,2018-03-26,2018-03-13,4581,2018-03-17,12.719061487402081
2977421,J,2,110018,233,233,131,A,ADLD,110006,2017-12-31,2017-12-25,2018-03-13,4154,2018-03-19,17.943043225315588
2982990,AN,26,560066,233,233,131,A,ADLD,600097,2017-06-12,2017-06-10,2018-03-15,5001,2018-03-20,10.997001330749423
2979785,AJ,2,110018,233,233,131,A,ADLD,201301,2017-10-24,2017-10-21,2018-03-14,4388,2018-03-20,15.728240017756386
2984029,H,1,400059,233,233,131,B,ADLD,440027,2018-02-25,2018-02-13,2018-03-15,4011,2018-03-19,19.77994279356872
3012909,AD,2,110018,233,233,131,A,ADLD,201301,2017-11-18,2017-07-11,2018-03-24,4148,2018-03-29,16.73855055390169
3030307,AJ,27,110034,233,233,131,A,ADLD,110092,2017-11-16,2017-08-25,2018-03-28,4388,2018-03-31,15.78232068742076
3048314,AN,7,500004,233,233,131,A,ADLD,500011,2018-02-07,2017-04-25,2018-04-02,4403,2018-04-10,10.074349365950711
3060524,C,2,110018,233,233,228,A,ADLD,110029,2018-03-15,2018-02-08,2018-04-06,4094,2018-04-12,15.364346674494747
3064259,AN,21,110015,233,233,131,B,ADLD,124001,2017-05-05,2017-05-02,2018-04-07,4580,2018-04-17,9.77257296177888
3057867,C,2,110018,308,233,228,A,ADLD,110092,2018-03-18,2018-03-18,2018-04-05,4550,2018-04-16,10.5338145490016
2870652,AJ,3,560011,233,245,228,A,ADLD,560102,2017-07-11,2016-08-05,2018-02-14,4460,2018-02-15,10.656826269609516
2920134,AJ,3,560011,233,245,131,A,ADLD,560062,2017-03-28,2017-03-27,2018-02-27,4460,2018-03-01,11.367418858692188
2866111,AN,21,110015,233,233,131,A,ADLD,122002,2017-05-08,2017-05-05,2018-02-13,4580,2018-02-17,10.14819540894944
2908430,AJ,3,560011,233,233,131,B,ADLD,570029,2017-12-28,2017-12-28,2018-02-26,4460,2018-03-03,13.777575345818322
2920849,AN,22,400104,233,233,131,B,ADLD,462043,2017-06-08,2017-06-03,2018-02-27,4581,2018-03-03,15.812998714765504
2884266,AF,5,380009,233,245,131,A,ADLD,380008,2017-02-24,2017-02-22,2018-02-19,4039,2018-02-21,13.088953286278628
2819466,AN,4,600024,233,233,131,B,ADLD,636016,2017-05-06,2017-06-16,2018-01-30,4490,2018-02-03,12.32881692082839
2858437,AN,17,800001,233,233,131,A,ADLD,800001,2017-12-09,2017-09-23,2018-02-10,4538,2018-02-14,12.284655298915368
3050523,C,2,110018,308,233,131,A,ADLD,110027,2017-06-12,2017-05-31,2018-04-03,4550,2018-04-05,10.14648060321479
2876140,AN,22,400104,233,245,131,B,ADLD,385001,2017-09-18,2017-09-09,2018-02-16,4581,2018-02-20,14.132028067612184
2824732,AI,7,500004,233,233,131,A,ADLD,501505,2017-12-27,2017-12-27,2018-01-31,4474,2018-02-02,12.422351932926809
